Type	URI	Status	Elapsed Seconds
Manifest	http://dams.llgc.org.uk/iiif/2.0/4064120/manifest.json	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064121/info.json	200	0.104596
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064121/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064121/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064121/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064122/info.json	200	0.107797
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064122/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064122/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064122/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064123/info.json	200	0.123864
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064123/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064123/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064123/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064124/info.json	200	0.150417
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064124/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064124/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064124/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064125/info.json	200	0.110612
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064125/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064125/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064125/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064126/info.json	200	0.163799
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064126/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064126/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064126/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064127/info.json	200	0.107234
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064127/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064127/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064127/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064128/info.json	200	0.12429
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064128/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064128/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064128/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064129/info.json	200	0.139153
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064129/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064129/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064129/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064130/info.json	200	0.123639
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064130/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064130/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064130/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064131/info.json	200	0.121813
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064131/full/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064131/0,0,100,100/100,/0/native.jpg	200	
Tile	http://dams.llgc.org.uk/iiif/2.0/image/4064131/100,100,200,200/100,/0/native.jpg	200	
Info.json	http://dams.llgc.org.uk/iiif/2.0/image/4064132/info.json	200	0.115927
Thumbnail	http://dams.llgc.org.uk/iiif/2.0/image/4064132/full/100,/0/native.jpg	200	
